
Match Number: 0 
time,	robotMode,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
int,	string,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4,	PWM 2 PDP 1 (intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
5100,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,62.588,67.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.469,
5150,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,63.126,67.740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.500,
5200,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,63.947,68.612,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.688,10.800,10.469,
5250,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,64.459,69.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.781,10.800,10.469,
5300,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,65.241,70.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.469,
5350,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,65.767,70.560,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.500,
5400,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,66.561,71.419,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.688,10.850,10.500,
5450,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,67.112,72.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.688,10.800,10.469,
5500,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,67.881,72.855,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.450,8.750,10.800,10.469,
5550,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,68.420,73.419,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.469,
5600,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,69.215,74.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.469,
5650,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,69.753,74.841,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.781,10.800,10.469,
5700,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,70.535,75.687,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.469,
5750,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,71.342,76.559,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.500,
5800,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,71.881,77.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.469,
5850,Auto Enable,-0.073,-0.250,5.340,1.870,TRUE,72.662,77.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.781,10.800,10.469,
